Track Name,Artist,date,region,spotify_id,genres,duration,popularity
Roses - Imanbek Remix,SAINt JHN,2020-04-02,us,24Yi9hE78yPEbZ4kxyoXAI,melodic rap,176840,98
Supalonely,BENEE,2020-04-02,us,4nK5YrxbMGZstTLbvj6Gxw,nz pop,223480,95
I'm Yer Dad,GRLwood,2020-04-02,us,0GxbglYySl18aZDIaGu1RU,louisville indie,144108,71
Savage,Megan Thee Stallion,2020-04-02,us,55CHeLEfn5iJ0IIkgaa4si,houston rap,155497,93
They Call Me Tiago,Tiagz,2020-04-02,us,489AYiTB0ylShgV29tihMo,ottawa rap,154455,80
Prop Me Up Beside the Jukebox (If I Die),Joe Diffie,2020-04-02,us,3hP7U1NmWEyeZRpLA1BhYj,country,226973,62
Breaking Me,Topic,2020-04-02,us,3H7ihDc1dqLriiWXwsc2po,german dance,166793,89
Comatose,Jadn,2020-04-02,us,1FIv5SzIBWmCF5Xmt8N6BD,pop,155611,76
Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,2020-04-02,us,7wsmIIm0xWmtP7TmACXkJn,atl hip hop,206702,86
WHATS POPPIN,Jack Harlow,2020-04-02,us,1jaTQ3nqY3oAAYyCTbIvnM,deep underground hip hop,139741,92
PTSD,G Herbo,2020-04-02,us,3jT2LKH0RSbQ8jIUNFzXm5,chicago drill,232064,86
B.S. (feat. H.E.R.),Jhené Aiko,2020-04-02,us,63wx9vdskaXbYxyDx4oJCZ,alternative r&b,212866,82
Blinding Lights,The Weeknd,2020-04-02,us,0VjIjW4GlUZAMYd2vXMi3b,canadian contemporary r&b,200040,99
Sunday Best,Surfaces,2020-04-02,us,1Cv1YLb4q0RzL6pybtaMLo,bedroom soul,158571,96
Moral of the Story,Ashe,2020-04-02,us,2nC3QhMI9reBIOWutbU3Tj,indie pop,201083,89
Blueberry Faygo,Lil Mosey,2020-04-02,us,22LAwLoDA5b4AaGSkg6bKW,melodic rap,162546,89
Safaera,Bad Bunny,2020-04-02,us,2DEZmgHKAvm41k4J3R2E9Y,latin,295176,95
Boss Bitch,Doja Cat,2020-04-02,us,78qd8dvwea0Gosb6Fe6j3k,la indie,134239,93
FRIENDS,LAUNDRY DAY,2020-04-02,us,3usbnvDFtOhY09cRNar8Zg,bedroom pop,266471,66
Fire,Waxahatchee,2020-04-02,us,2QUEBOSGpKpL6bzzbQiwwo,alabama indie,217373,60
I Love Me,Demi Lovato,2020-04-02,us,2IHLaN6wwYKQ3S24NsQqpA,dance pop,203672,85
Pickup Man,Joe Diffie,2020-04-02,us,3dSUY34vmIYWJn0M6oZ3BD,country,216173,65
My Truck,Breland,2020-04-02,us,1mpD5ioZ9479I6CuKxn3K9,social media pop,158329,78
CITY OF ANGELS,24kGoldn,2020-04-02,us,6ap9lSRJ0iLriGLqoJ44cq,cali rap,112493,90
John Deere Green,Joe Diffie,2020-04-02,us,1Qaa4I0iyu1yUxtar6Dj3r,country,272733,62
My Heart Went Oops,Tiagz,2020-04-02,us,3Nhfs2Cx7z2JWHetYkzSfO,ottawa rap,128925,78
Lilacs,Waxahatchee,2020-04-02,us,5MDUdi9T4Ee4Kv33SbewC3,alabama indie,195600,58
Yo Perreo Sola,Bad Bunny,2020-04-02,us,0SqqAgdovOE24BzxIClpjw,latin,172127,94
P2,Lil Uzi Vert,2020-04-02,us,3kW4z2pIj5VY5fLjBrMRL5,melodic rap,234626,89
Gaslighter,Dixie Chicks,2020-04-02,us,4BR0bp4qHX1lcBM2HtnoIm,contemporary country,203466,75
If the World Was Ending - feat. Julia Michaels,JP Saxe,2020-04-02,us,2kJwzbxV2ppxnQoYw4GLBZ,canadian contemporary r&b,208687,90
Selfish,Madison Beer,2020-04-02,us,4PV0uE5pZSh44E3NqNNDEH,dance pop,223270,87
Don't Start Now,Dua Lipa,2020-04-02,us,3PfIrDoz19wz7qK7tYeu62,dance pop,183290,90
Lady (Hear Me Tonight),Modjo,2020-04-02,us,7HHYgMJYAtMkQn50wmXOIN,disco house,306133,30
WANNABE,ITZY,2020-04-02,us,6tCssnvTUREcperDOUTqvA,k-pop,191242,85
In Spite of Ourselves (feat. Iris DeMent),John Prine,2020-04-02,us,1k691v8ChLgDiuLLKnjyj6,country rock,213600,68
Say So,Doja Cat,2020-04-02,us,3Dv1eDb0MEgF93GpLXlucZ,la indie,237893,97
Drop 'Em Out,Wheeler Walker Jr.,2020-04-02,us,0imfNymwLWKyhLBlBZYg53,outlaw country,94293,67
Rojo,J Balvin,2020-04-02,us,380HmhwTE2NJgawn1NwkXi,latin,150720,85
Physical,Dua Lipa,2020-04-02,us,3AzjcOeAmA57TIOr9zF1ZW,dance pop,193829,89
